Institution,City,Country,CHAMNHA,HEAT,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons,Funder,lon,lat
Folkehelseinstituttet,Oslo,Norway,0,0,1,0,0,0,0,0,10.7389701,59.9133301
Center for International Climate Research,Oslo,Norway,0,0,1,0,0,0,0,0,10.7389701,59.9133301
Royal College of Surgeons in Ireland,Dublin,Ireland,0,0,1,0,0,0,0,0,-6.2605593,53.3493795
Health and Environment Alliance,Brussels,Belgium,0,0,1,0,0,0,0,0,4.351697,50.8465573
International Red Cross Red Crescent Centre on Climate Change and Disaster Preparedness,The Hague,Netherlands,0,0,1,0,0,0,0,0,4.269680220536452,52.07494555
University Paul Sabatier Toulouse,Toulouse,France,0,0,1,0,0,0,0,0,1.4442469,43.6044622
Goeteborgs University,Gothenburg,Sweden,0,0,1,0,0,0,0,0,11.9670171,57.7072326
Ilmatieteen Laitos,Helsinki,Finland,0,0,1,0,0,0,0,0,24.9427473,60.1674881
US National Institutes of Health,Bethesda,United States,0,0,0,1,0,0,0,1,-77.12335871396549,38.98127255
European Union,Brussels,Belgium,0,0,0,0,0,0,0,1,4.351697,50.8465573
UK Research and Innovation,Swindon,United Kingdom,1,0,0,0,0,0,0,1,-1.7854322,51.5615327
Research Council of Norway,Oslo,Norway,1,0,0,0,0,0,0,1,10.7389701,59.9133301
Forte,Stockholm,Sweden,1,0,0,0,0,0,0,1,18.0710935,59.3251172
Green Climate Fund,Incheon,South Korea,0,0,0,0,0,0,0,1,126.7052,37.456
Adaptation Fund,Washington DC,United States,0,0,0,0,0,0,0,1,-77.0365427,38.8950368
Ghent University,Ghent,Belgium,0,0,0,0,0,0,1,0,3.7174243,51.0543422
University of Thessaly,Volos,Greece,0,0,0,0,0,0,1,0,22.9444191,39.3621095
