Institution,City,Country,CHAMNHA,HEAT,ENBEL,GHAP,HAPI,BioHEAT,HIGH_Horizons,Funder,Partners,Data_Providers,Policy_Stakeholders,Gueladio_Cisse,Matthew_Chersich,Pilot_Projects,lon,lat
Rahima Moosa Mother and Child Hospital,Johannesburg,South Africa,0,0,0,0,0,1,0,0,1,0,0,0,1,0,28.049722,-26.205
"Division of Human Genetics, University of the Witwatersrand",Johannesburg,South Africa,0,0,0,0,0,1,0,0,1,0,0,0,1,0,28.049722,-26.205
Global Change Institute University of the Witwatersrand,Johannesburg,South Africa,0,0,0,0,1,0,0,0,1,0,0,0,1,0,28.049722,-26.205
South African Medical Research Council,Pretoria,South Africa,1,0,0,0,0,0,0,0,1,0,0,0,1,0,28.18791,-25.745928
University of Pretoria,Pretoria,South Africa,0,1,0,1,1,0,0,0,1,0,0,1,1,0,28.18791,-25.745928
South African Weather Service,Pretoria,South Africa,0,0,0,0,1,0,0,0,1,1,0,0,1,0,28.18791,-25.745928
Stellenbosch University,Stellenbosch,South Africa,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18.869167,-33.934444
Green Climate Fund,Incheon,South Korea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,126.7052,37.456
Goeteborgs University,Gothenburg,Sweden,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11.967017,57.707233
Lunds University,Lund,Sweden,0,0,1,0,0,0,1,0,1,0,0,0,1,0,13.192945,55.70293
Karolinska Institute,Stockholm,Sweden,1,0,0,1,0,0,1,0,1,0,0,0,1,0,18.071094,59.325117
Forte,Stockholm,Sweden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.071094,59.325117
Umea University,Umea,Sweden,0,0,1,0,0,0,0,0,1,0,0,0,1,0,20.263074,63.825657
World Health Organization,Geneva,Switzerland,0,0,0,1,0,0,1,0,1,1,1,0,1,0,6.146601,46.201756
World Meteorological Organization,Geneva,Switzerland,0,0,0,1,0,0,0,0,1,1,0,0,1,0,6.146601,46.201756
University of Lome,Lome,Togo,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.215829,6.130419
Makerere University,Kampala,Uganda,0,1,0,0,0,0,0,0,1,0,0,1,0,0,32.581354,0.317714
Met Office,Exeter,United Kingdom,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-3.526921,50.725614
University of Leeds,Leeds,United Kingdom,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-1.543794,53.797418
"University College London, Lancet Countdown",London,United Kingdom,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.144055,51.489334
London School of Hygiene and Tropical Medicine,London,United Kingdom,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-0.144055,51.489334
Wellcome Trust,London,United Kingdom,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1339,51.5259
University of Southampton,Southampton,United Kingdom,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-1.404189,50.902535
UK Research and Innovation,Swindon,United Kingdom,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.785432,51.561533
University of Michigan,Ann Arbor,United States,0,1,0,0,0,0,0,0,1,0,0,1,1,0,-83.748462,42.281372
US National Institutes of Health,Bethesda,United States,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-77.123359,38.981273
National Institute of Environmental Health Sciences (NIEHS),Research Triangle Park,United States,35.9052,-78.8669
University of Washington,Seattle,United States,1,1,0,0,0,0,0,0,1,0,0,1,1,0,-122.330062,47.603832
Adaptation Fund,Washington Dc,United States,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-77.036543,38.895037
Midlands State University,Gweru,Zimbabwe,0,1,0,0,0,0,0,0,1,0,0,0,0,1,29.820595,-19.461632
CeSHHAR,Harare,Zimbabwe,1,1,0,1,1,0,1,0,1,0,0,1,1,0,31.060158,-17.856704
